iter	Passed	Remaining
964	135482	4913
965	135615	4773
966	135772	4633
967	135908	4492
968	136047	4352
969	136176	4211
970	136311	4071
971	136450	3930
972	136595	3790
973	136760	3650
974	136918	3510
975	137071	3370
976	137252	3231
977	137407	3090
978	137571	2950
979	137728	2810
980	137881	2670
981	138043	2530
982	138182	2389
983	138322	2249
984	138460	2108
985	138595	1967
986	138738	1827
987	138884	1686
988	139054	1546
989	139197	1406
990	139323	1265
991	139486	1124
992	139612	984
993	139760	843
994	139887	702
995	140025	562
996	140169	421
997	140315	281
998	140438	140
999	140584	0
